# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-07 22:35:11 425620421 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000137247  0.164398987 -0.986393924  0.000000000000000000 -30.413812651   0.000000000  30.413812651  0.000000999038580   318.446402  0.000000000000000 
     1     0.001000  0.000137247  0.000137135  0.164442906 -0.986386603  0.000000000000000000 -30.414038376  30.414038376  30.414038376  0.000000997542970   317.959332 30.414038376390483 
     2     0.002000  0.000274382  0.000137225  0.164486812 -0.986379282  0.000000000000000000 -30.414264101  26.114229208  30.414264101  0.000000998989898   317.473204 26.114229207984675 
     3     0.003000  0.000411607  0.000137113  0.164530769 -0.986371951 -0.000000000000003553 -30.414490158  29.952163874  30.414490158  0.000000997493176   316.987300 29.952163873969123 
     4     0.004000  0.000548719  0.000137203  0.164574714 -0.986364620  0.000000000000003553 -30.414716215  30.414716215  30.414716215  0.000000998940845   316.502337 30.414716214527747 
     5     0.005000  0.000685922  0.000137090  0.164618711 -0.986357278  0.000000000000003553 -30.414942604  30.414942604  30.414942604  0.000000997443012   316.017599 30.414942604301242 
     6     0.006000  0.000823013  0.000137180  0.164662695 -0.986349936  0.000000000000000000 -30.415168994  30.415168994  30.415168994  0.000000998891421   315.533799 30.415168993526532 
     7     0.007000  0.000960193  0.000137068  0.164706731 -0.986342584  0.000000000000000000 -30.415395717  30.415395717  30.415395717  0.000000997392478   315.050224 30.415395716586318 
     8     0.008000  0.001097261  0.000137158  0.164750754 -0.986335232  0.000000000000000000 -30.415622439  30.415622439  30.415622439  0.000000998841628   314.567585 30.415622439022098 
     9     0.009000  0.001234419  0.000137046  0.164794830 -0.986327868 -0.000000000000003553 -30.415849496  30.415849496  30.415849496  0.000000997341575   314.085171 30.415849495935920 
    10     0.010000  0.001371465  0.000137136  0.164838892 -0.986320505  0.000000000000000000 -30.416076552  30.416076552  30.416076552  0.000000998791465   313.603692 30.416076552149786 
